CODIGO;VIVIENDA TURISTICA;PLAZAS;PLAZA POR VIVIENDA TURISTICA;PORCENTAJE VIVIENDA TURISTICA;PROV;PROV_LITERAL;MUN;MUN_LITERAL
0105906002;0;0;;0,0;01;Araba/Álava;01059;Vitoria-Gasteiz
0105906003;1;3;3,0;0,1;01;Araba/Álava;01059;Vitoria-Gasteiz
0106001001;1;4;4,0;0,5;01;Araba/Álava;01060;Yécora/Iekora
0106101001;0;0;;0,0;01;Araba/Álava;01061;Zalduondo
0106201001;1;7;7,0;0,3;01;Araba/Álava;01062;Zambrana
0106301001;7;38;5,4;0,6;01;Araba/Álava;01063;Zuia
0190101001;1;1;1,0;0,1;01;Araba/Álava;01901;Iruña Oka/Iruña de Oca
0190101002;0;0;;0,0;01;Araba/Álava;01901;Iruña Oka/Iruña de Oca
0190201001;2;24;12,0;0,3;01;Araba/Álava;01902;Lantarón
0200101001;0;0;;0,0;02;Albacete;02001;Abengibre
0200201001;1;4;4,0;0,2;02;Albacete;02002;Alatoz
0200301001;1;6;6,0;0,2;02;Albacete;02003;Albacete
0200301002;1;2;2,0;0,2;02;Albacete;02003;Albacete
