,Asalariados,Pensionistas,Desempleados,Prestacionistas,Otros_ingresos,Code,Index_Gini,dist_rent_p80_p20,media_edad,percent_menos_18,percernt_mas_65,tamaño_casa_media,percent_casa_unipersonales,habitantes,Renta neta media por persona ,renta_media_hogar,media_unidad_consumo,mediana_unidad_consumo,renta_bruta_persona,renta_bruta_hogar,viviendas_turisticas,plazas,plaza_vivienda_turistica,percent_vivienda_turistica
1438,6364.0,2811.0,331.0,541.0,748.0,1031,30.0,2.6,44.1,15.5,21.9,2.61,24.2,1897.0,9.444,24.765,13.940,12.950,10.795,28.306,0,0,0.0,0.0
1439,7271.0,3124.0,304.0,618.0,866.0,1032,31.8,2.9,45.2,13.9,21.1,2.51,27.6,1594.0,10.490,26.250,15.412,14.350,12.183,30.487,5,26,5.2,0.7
1440,4229.0,2391.0,322.0,847.0,306.0,1033,34.9,3.8,43.1,18.0,20.3,2.83,23.1,1287.0,7.354,21.144,11.188,10.150,8.095,23.274,0,0,0.0,0.0
1441,4021.0,2566.0,357.0,729.0,259.0,1034,32.4,3.1,44.4,15.6,23.6,2.8,25.3,1621.0,7.236,20.816,11.003,10.150,7.931,22.817,2,16,8.0,0.4
1442,5195.0,2630.0,316.0,767.0,397.0,1035,36.9,4.2,43.2,16.3,20.5,2.82,21.9,1149.0,8.246,23.251,12.367,10.850,9.305,26.235,6,18,3.0,1.1
1443,3333.0,2713.0,298.0,688.0,246.0,1036,36.5,3.9,43.5,18.2,22.8,2.87,21.7,965.0,6.669,19.579,10.083,9.450,7.278,21.368,12,34,2.8,2.8
1444,4218.0,3439.0,306.0,708.0,453.0,1037,34.3,3.4,46.5,13.6,26.9,2.53,30.2,1089.0,8.302,21.283,12.078,10.850,9.124,23.390,11,46,4.2,2.8
1445,8441.0,2556.0,318.0,784.0,1091.0,1039,31.3,2.8,43.2,17.8,17.9,2.64,22.4,1473.0,11.195,29.676,17.022,15.750,13.190,34.966,1,4,4.0,0.1
1446,15767.0,2121.0,211.0,485.0,4649.0,1040,33.8,3.1,37.6,23.9,10.4,2.59,27.2,2677.0,17.756,46.337,27.315,24.850,23.232,60.628,22,96,4.4,1.9
1447,5318.0,3214.0,210.0,568.0,1659.0,1041,39.7,4.8,46.6,16.7,26.6,2.72,29.5,831.0,9.437,26.638,14.002,11.550,10.969,30.961,12,31,2.6,2.3
1448,7840.0,4295.0,319.0,774.0,992.0,1043,29.3,2.5,47.0,13.3,27.4,2.61,21.1,826.0,12.126,31.596,17.980,17.150,14.219,37.051,1,2,2.0,0.2
1449,7369.0,3633.0,312.0,783.0,1211.0,1044,32.4,3.1,44.7,15.1,21.8,2.52,29.8,1218.0,11.390,28.741,16.798,15.750,13.308,33.581,2,7,3.5,0.4
