location_raw;Índice de Gini;Distribución de la renta P80/P20
4100201 Alanís distrito 01;28,3;2,2
4100201001 Alanís sección 01001;27,2;2
4100201002 Alanís sección 01002;29,3;2,2
46005 Alaquàs;28,8;2,4
4600501 Alaquàs distrito 01;30,1;2,5
4600501001 Alaquàs sección 01001;30,6;2,6
4600501002 Alaquàs sección 01002;29,1;2,5
4600501003 Alaquàs sección 01003;29,1;2,2
4600501004 Alaquàs sección 01004;33,9;2,7
4600501005 Alaquàs sección 01005;32,9;2,8
4600501006 Alaquàs sección 01006;28,4;2,3
4600501007 Alaquàs sección 01007;27,3;2,1
4600501008 Alaquàs sección 01008;28,9;2,6
4600501010 Alaquàs sección 01010;26,7;2,1
4600502 Alaquàs distrito 02;28,5;2,3
