location_raw;Renta neta media por persona ;Renta neta media por hogar;Media de la renta por unidad de consumo;Mediana de la renta por unidad de consumo;Renta bruta media por persona;Renta bruta media por hogar
5000201 Acered distrito 01;9.831;19.663;13.225;12.250;10.918;21.837
5000201001 Acered sección 01001;9.831;19.663;13.225;12.250;10.918;21.837
06002 Aceuchal;7.470;19.880;11.503;10.150;8.429;22.433
0600201 Aceuchal distrito 01;7.663;20.320;11.735;10.150;8.634;22.896
0600201001 Aceuchal sección 01001;7.948;21.826;12.397;10.850;9.152;25.132
0600201002 Aceuchal sección 01002;7.800;20.355;11.851;10.150;8.758;22.853
0600201003 Aceuchal sección 01003;7.280;18.901;11.000;10.150;8.035;20.862
0600202 Aceuchal distrito 02;7.106;19.042;11.063;9.450;8.041;21.549
0600202001 Aceuchal sección 02001;7.106;19.042;11.063;9.450;8.041;21.549
22003 Adahuesca;12.740;34.103;18.643;16.450;14.909;39.910
2200301 Adahuesca distrito 01;12.740;34.103;18.643;16.450;14.909;39.910
2200301001 Adahuesca sección 01001;12.740;34.103;18.643;16.450;14.909;39.910
47001 Adalia;.;.;.;.;.;.
4700101 Adalia distrito 01;.;.;.;.;.;.
4700101001 Adalia sección 01001;.;.;.;.;.;.
14001 Adamuz;8.480;21.468;12.662;11.550;9.423;23.856
1400101 Adamuz distrito 01;8.480;21.468;12.662;11.550;9.423;23.856
1400101001 Adamuz sección 01001;8.346;22.556;12.685;11.550;9.246;24.989
1400101002 Adamuz sección 01002;9.107;23.631;13.698;12.250;10.241;26.574
1400101003 Adamuz sección 01003;8.203;19.076;11.930;10.850;9.065;21.081
05001 Adanero;11.829;25.088;16.027;15.750;13.640;28.928
0500101 Adanero distrito 01;11.829;25.088;16.027;15.750;13.640;28.928
0500101001 Adanero sección 01001;11.829;25.088;16.027;15.750;13.640;28.928
38001 Adeje;9.105;25.143;14.557;12.250;10.785;29.781
3800101 Adeje distrito 01;9.105;25.143;14.557;12.250;10.785;29.781
3800101001 Adeje sección 01001;9.964;27.510;15.432;12.950;11.610;32.055
3800101002 Adeje sección 01002;8.181;26.039;12.993;12.250;9.279;29.533
3800101003 Adeje sección 01003;9.376;27.215;15.108;12.950;11.252;32.659
3800101004 Adeje sección 01004;8.337;23.981;13.035;12.950;9.380;26.980
