location_raw;Edad media de la población;Porcentaje de población menor de 18 años;Porcentaje de población de 65 y más años;Tamaño medio del hogar;Porcentaje de hogares unipersonales;Población
3800101015 Adeje sección 01015;36,9;17,9;7,4;3,02;20,8;2.203
3800101016 Adeje sección 01016;36,1;21,9;6,5;2,93;22,9;1.454
3800101017 Adeje sección 01017;38,5;15,3;9,6;2,22;38,4;2.822
3800101018 Adeje sección 01018;38,5;18,4;10,3;2,5;30,2;3.952
46001 Ademuz;45,8;15,1;22,9;2,32;37,7;1.015
4600101 Ademuz distrito 01;45,8;15,1;22,9;2,32;37,7;1.015
4600101001 Ademuz sección 01001;45,8;15,1;22,9;2,32;37,7;1.015
31007 Adiós;49,8;10,2;24,1;2,32;33,9;137
3100701 Adiós distrito 01;49,8;10,2;24,1;2,32;33,9;137
3100701001 Adiós sección 01001;49,8;10,2;24,1;2,32;33,9;137
19003 Adobes;.;.;.;.;.;.
1900301 Adobes distrito 01;.;.;.;.;.;.
1900301001 Adobes sección 01001;.;.;.;.;.;.
46002 Ador;44,4;16;21,1;2,34;30,5;1.500
4600201 Ador distrito 01;44,4;16;21,1;2,34;30,5;1.500
4600201001 Ador sección 01001;44,4;16;21,1;2,34;30,5;1.500
04003 Adra;39,5;19,8;14,4;2,79;23,4;24.477
0400301 Adra distrito 01;38,9;20,7;13,1;2,75;23,6;11.660
0400301001 Adra sección 01001;43,7;15,6;19,3;2,9;21,3;874
0400301002 Adra sección 01002;38,5;21,5;11,7;2,94;18,3;1.752
0400301003 Adra sección 01003;37,2;22,2;10,6;2,67;26,3;2.217
0400301004 Adra sección 01004;36,5;23,7;9,8;2,87;22,5;2.441
0400301005 Adra sección 01005;38,1;20;12,7;2,56;26,3;1.964
0400301006 Adra sección 01006;42;19,1;18,1;2,67;26,2;1.507
0400301007 Adra sección 01007;42,3;16,4;17,1;2,77;20,2;905
0400302 Adra distrito 02;41,6;17,8;17,7;2,77;22,8;3.502
0400302001 Adra sección 02001;42,4;16;17,5;2,74;22,4;1.148
0400302002 Adra sección 02002;41,4;18,1;18,1;2,8;21,2;1.437
0400302003 Adra sección 02003;40,7;19,4;17,5;2,79;25,8;917
0400303 Adra distrito 03;39,1;20,2;14;2,84;23,4;4.637
0400303001 Adra sección 03001;42,2;18,5;20,6;2,75;26,5;1.118
0400303002 Adra sección 03002;37,8;22,7;12,6;2,99;22,1;1.165
0400303003 Adra sección 03003;38,2;19,8;11,6;2,81;22,4;2.354
0400304 Adra distrito 04;45,4;16,3;26,1;2,36;36,8;778
0400304001 Adra sección 04001;45,4;16,3;26,1;2,36;36,8;778
0400305 Adra distrito 05;39,1;19;13,4;2,95;20;3.900
0400305001 Adra sección 05001;40,8;18,3;16;2,91;21,4;1.575
0400305002 Adra sección 05002;37,9;19,4;11,7;2,98;19,1;2.325
09003 Adrada de Haza;51,7;6,9;31,5;2,23;39,6;203
0900301 Adrada de Haza distrito 01;51,7;6,9;31,5;2,23;39,6;203
0900301001 Adrada de Haza sección 01001;51,7;6,9;31,5;2,23;39,6;203
40002 Adrada de Pirón;.;.;.;.;.;.
4000201 Adrada de Pirón distrito 01;.;.;.;.;.;.
4000201001 Adrada de Pirón sección 01001;.;.;.;.;.;.
05002 Adrada, La;43,9;17,5;20,7;2,3;38,8;2.450
0500201 Adrada, La distrito 01;43,9;17,5;20,7;2,3;38,8;2.450
0500201001 Adrada, La sección 01001;43,8;18,2;20,9;2,3;38,8;1.300
0500201002 Adrada, La sección 01002;44,1;16,8;20,4;2,3;38,7;1.150
42003 Adradas;.;.;.;.;.;.
4200301 Adradas distrito 01;.;.;.;.;.;.
4200301001 Adradas sección 01001;.;.;.;.;.;.
40003 Adrados;56,5;3,5;40,9;1,77;47,6;128
4000301 Adrados distrito 01;56,8;3,5;41,6;1,77;48,2;128
4000301001 Adrados sección 01001;57;3,5;43,2;1,77;50,7;128
20002 Aduna;39,3;23,9;14,3;2,76;22,9;469
2000201 Aduna distrito 01;39,3;23,9;14,3;2,76;22,9;469
2000201001 Aduna sección 01001;39,3;23,9;14,3;2,76;22,9;469
35001 Agaete;45,1;13,7;20,3;2,54;30,9;5.488
3500101 Agaete distrito 01;45,1;13,7;20,3;2,54;30,9;5.488
3500101001 Agaete sección 01001;46,6;12,7;23;2,62;27,6;1.028
3500101002 Agaete sección 01002;45,6;13,7;22;2,58;29,6;1.369
3500101003 Agaete sección 01003;46,5;11,9;21,8;2,52;32,9;997
3500101004 Agaete sección 01004;45,3;12,1;18,5;2,28;39,1;880
3500101005 Agaete sección 01005;41,9;17,3;16,1;2,66;26,8;1.214
37002 Agallas;56,5;6,8;40,9;1,82;47,6;128
3700201 Agallas distrito 01;56,8;6,8;41,6;1,82;48,2;128
3700201001 Agallas sección 01001;57;6,8;42,4;1,82;50,7;128
25002 Àger;50,2;11,4;30,6;2,33;39,1;536
2500201 Àger distrito 01;50,2;11,4;30,6;2,33;39,1;536
2500201001 Àger sección 01001;50,2;11,4;30,6;2,33;39,1;536
36020 Agolada;55,5;7,2;39;1,94;47,6;2.410
3602001 Agolada distrito 01;53,8;8,4;35,6;2,15;42,1;1.137
3602001001 Agolada sección 01001;53,8;8,4;35,6;2,15;42,1;1.137
3602002 Agolada distrito 02;56,8;6,8;41,6;1,77;48,2;705
3602002001 Agolada sección 02001;56,8;6,8;42;1,74;50,7;705
3602003 Agolada distrito 03;56,8;5,3;41,6;2,09;40,1;568
3602003001 Agolada sección 03001;57;5,3;42,1;2,09;40,1;568
50003 Agón;51,8;8,8;34,3;2,17;41,3;137
5000301 Agón distrito 01;51,8;8,8;34,3;2,17;41,3;137
5000301001 Agón sección 01001;51,8;8,8;34,3;2,17;41,3;137
26002 Agoncillo;45,6;14,3;23;2,26;35,1;1.074
2600201 Agoncillo distrito 01;45,6;14,3;23;2,26;35,1;1.074
2600201001 Agoncillo sección 01001;45,6;14,3;23;2,26;35,1;1.074
03002 Agost;43,3;17,5;19,7;2,61;26,2;4.754
0300201 Agost distrito 01;43,3;17,5;19,7;2,61;26,2;4.754
0300201001 Agost sección 01001;44,2;16,7;20,1;2,5;30,4;1.728
0300201002 Agost sección 01002;45;16,2;23,1;2,62;24,7;1.689
0300201003 Agost sección 01003;39,9;20,3;15;2,75;22,4;1.337
25003 Agramunt;43;18,4;19,9;2,61;25,9;5.355
2500301 Agramunt distrito 01;43;18,4;19,9;2,61;25,9;5.355
2500301001 Agramunt sección 01001;46,3;15,6;25,7;2,35;34,6;810
2500301002 Agramunt sección 01002;47,5;15,5;28,6;2,36;34,4;884
2500301003 Agramunt sección 01003;40,2;20,7;14,9;2,74;21,3;2.021
