,business_status,name,rating,types,user_ratings_total,geometry.location.lat,geometry.location.lng,type,coddistsec,subtypes
191,OPERATIONAL,Lacolada,3.3,"['laundry', 'point_of_interest', 'establishment']",4.0,39.4798856,-0.37718820000000003,lavanderias,0111,laundry
194,OPERATIONAL,Lavandería Autoservicio Open wash Valencia Jesús,4.4,"['laundry', 'point_of_interest', 'establishment']",29.0,39.462551700000006,-0.38612909999999995,lavanderias,0335,laundry
195,OPERATIONAL,Tintoreria UrbanClean Ruzafa,4.7,"['laundry', 'point_of_interest', 'establishment']",15.0,39.461184100000004,-0.36492399999999997,lavanderias,1012,laundry
196,OPERATIONAL,C/rincón de Ademuz de valencia,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.470051899999994,-0.40254809999999996,lavanderias,0710,laundry
200,OPERATIONAL,Lavo.yo! Lavandería Autoservicio,3.8,"['laundry', 'point_of_interest', 'establishment']",11.0,39.457510799999994,-0.3871613,lavanderias,0905,laundry
201,OPERATIONAL,Lavanderia Autoservicio Premium LavaArnos,5.0,"['laundry', 'home_goods_store', 'point_of_interest', 'store', 'establishment']",24.0,39.4568881,-0.3718393,lavanderias,1015,laundry
202,OPERATIONAL,Lava Exprés,3.8,"['laundry', 'point_of_interest', 'establishment']",5.0,39.4508727,-0.3897717,lavanderias,0921,laundry
203,OPERATIONAL,neutro lavanderias,4.8,"['laundry', 'point_of_interest', 'establishment']",5.0,39.4642136,-0.3717935,lavanderias,0208,laundry
206,OPERATIONAL,Lacolada,3.8,"['laundry', 'point_of_interest', 'establishment']",19.0,39.46604620000001,-0.3571973,lavanderias,0612,laundry
207,OPERATIONAL,Lavar y Planchar,4.0,"['laundry', 'point_of_interest', 'establishment']",1.0,39.447276,-0.371158,lavanderias,1039,laundry
208,OPERATIONAL,Ecowash,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.4489273,-0.379334,lavanderias,1048,laundry
209,OPERATIONAL,Lavandería Autoservicio Open Wash Valencia Waksman,4.4,"['laundry', 'point_of_interest', 'establishment']",23.0,39.4568266,-0.3743761,lavanderias,1046,laundry
210,OPERATIONAL,Clean Blue,4.0,"['laundry', 'point_of_interest', 'establishment']",5.0,39.4542564,-0.37853309999999996,lavanderias,1024,laundry
211,OPERATIONAL,La Colada de Inma,3.0,"['laundry', 'point_of_interest', 'establishment']",2.0,39.4490558,-0.3799578,lavanderias,1029,laundry
212,OPERATIONAL,Lavandería,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.447290100000004,-0.3711797000000001,lavanderias,1039,laundry
213,OPERATIONAL,Interblanca,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.454806299999994,-0.3799484,lavanderias,1024,laundry
214,OPERATIONAL,Lacolada,2.0,"['laundry', 'point_of_interest', 'establishment']",1.0,39.4554494,-0.3716565,lavanderias,1021,laundry
215,OPERATIONAL,Llavanet,4.2,"['laundry', 'point_of_interest', 'establishment']",22.0,39.4528513,-0.3774195,lavanderias,1023,laundry
216,OPERATIONAL,Lavanderia LaColada San Vicente 244,4.9,"['laundry', 'home_goods_store', 'point_of_interest', 'store', 'establishment']",15.0,39.4553499,-0.3842449,lavanderias,0912,laundry
217,OPERATIONAL,Speed Water,4.6,"['laundry', 'point_of_interest', 'establishment']",25.0,39.459573299999995,-0.3664324,lavanderias,1005,laundry
218,OPERATIONAL,Oxxo Tintoreria,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.463347799999994,-0.36494240000000006,lavanderias,0253,laundry
219,OPERATIONAL,Lacolada,3.0,"['laundry', 'point_of_interest', 'establishment']",7.0,39.4672628,-0.3477595,lavanderias,1207,laundry
220,OPERATIONAL,Tintoreria Valencia Eurosec | Servicio a domicilio Gratis,5.0,"['laundry', 'point_of_interest', 'establishment']",2.0,39.4906487,-0.3796899,lavanderias,0533,laundry
221,OPERATIONAL,Lavanderías Mr Jeff,4.7,"['laundry', 'point_of_interest', 'establishment']",43.0,39.4627167,-0.3615747,lavanderias,1001,laundry
222,OPERATIONAL,Colada Expres,4.1,"['laundry', 'point_of_interest', 'establishment']",28.0,39.484553000000005,-0.369422,lavanderias,0525,laundry
223,OPERATIONAL,Tintorería UrbanClean,3.8,"['laundry', 'point_of_interest', 'establishment']",25.0,39.4708493,-0.3713565,lavanderias,0130,laundry
224,OPERATIONAL,LAVAHOME,4.1,"['laundry', 'point_of_interest', 'establishment']",40.0,39.468615500000006,-0.3860922,lavanderias,0348,laundry
225,OPERATIONAL,Lavandería Auto-Servicio,4.1,"['laundry', 'point_of_interest', 'establishment']",27.0,39.47990360000001,-0.377208,lavanderias,0111,laundry
226,OPERATIONAL,La Gobernanta · Valencia (Albocácer),5.0,"['laundry', 'point_of_interest', 'establishment']",1.0,39.4680403,-0.37960079999999996,lavanderias,0313,laundry
227,OPERATIONAL,Pressing,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.4693562,-0.3774208,lavanderias,0133,laundry
228,OPERATIONAL,Ce Colada Expres,2.5,"['laundry', 'point_of_interest', 'establishment']",2.0,39.488719200000006,-0.3589173,lavanderias,1422,laundry
229,OPERATIONAL,Tintoreria la Bruixeta,4.4,"['laundry', 'point_of_interest', 'establishment']",23.0,39.48010670000001,-0.395307,lavanderias,0420,laundry
230,OPERATIONAL,Tintorería UrbanClean,3.2,"['laundry', 'point_of_interest', 'establishment']",13.0,39.466550899999994,-0.3729363,lavanderias,0233,laundry
231,OPERATIONAL,Tintoreria Lavanderia Noemi,0.0,"['laundry', 'point_of_interest', 'establishment']",0.0,39.4682381,-0.37920590000000004,lavanderias,0133,laundry
